1_star,2_star,3_star,4_star,5_star,book_id,review_url
30347,81804,275056,375949,326049,2956,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0142437174&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
9009,24121,152833,530131,1441299,1,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0439785960&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
54362,106924,400155,889901,1243940,40961427-1984,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=B003JTHWKU&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
16378,27831,94135,185095,300164,24280,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
1443,4385,21112,46129,55195,5479,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0060776099&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
91400,152651,363454,531928,679534,865,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0061122416&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
11731,24114,76330,167095,273484,7144,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0143058142&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
10437,29725,146594,281138,341720,2998,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0517189607&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
25432,63469,280698,576565,649440,929,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=1400096898&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
12798,29747,157171,574826,1148970,4667024-the-help,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
24851,65875,308216,616290,921445,100915,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
7972,16975,65358,98924,184602,233093,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=039480001X&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
32354,70791,200909,253934,241761,1381,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0143039954&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
8519,25289,109986,186130,209791,5326,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=1561797464&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
12477,40097,157207,275709,345952,231804,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
6857,15814,69493,163144,214027,11486,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0671727796&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
28172,47540,122743,210850,271708,18114322-the-grapes-of-wrath,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=067001690X&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
30275,42750,101245,182319,320390,320,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0060531045&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
18699,33172,147223,312760,601995,30119,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0060513039&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
19585,32779,107920,191460,392954,19543,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0099408392&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
7652,20265,111264,343308,548200,128029,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=1594489505&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
11393,23181,92578,188567,332756,8127,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0451528824&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
17889,32173,120622,310482,548759,375802,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0812550706&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
14701,39749,164199,253433,222725,24583,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0143039563&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
31362,60150,167516,242257,255977,1953,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0141439602&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
43286,81650,244103,434609,415872,4214,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0770430074&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
11519,24648,98788,206862,349584,7126,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0140449264&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
76519,152139,498323,850296,841916,14060211-animal-farm,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0143416316&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
6710,18097,87256,216008,255244,332613,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
4512,9412,37577,71430,174495,191139,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0679805273&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
15542,33096,107513,197035,245529,15823480-anna-karenina,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
3205,6060,31017,67431,136661,99107,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0525467564&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
