author_name,author_url,avg_rating,book_title,book_url,num_ratings,score,score_users
Ken Follett,https://www.goodreads.com/author/show/3447.Ken_Follett,4.31,"
The Pillars of the Earth (Kingsbridge, #1)
",/book/show/5043.The_Pillars_of_the_Earth,"592,275","57,079",702
Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,3.86,"
Oliver Twist
",/book/show/18254.Oliver_Twist,"292,065","56,853",809
Nicholas Sparks,https://www.goodreads.com/author/show/2345.Nicholas_Sparks,4.09,"
The Notebook (The Notebook, #1)
",/book/show/15931.The_Notebook,"1,204,703","56,729",718
Richard Bach,https://www.goodreads.com/author/show/16904.Richard_Bach,3.83,"
Jonathan Livingston Seagull
",/book/show/71728.Jonathan_Livingston_Seagull,"181,924","56,608",708
John Boyne,https://www.goodreads.com/author/show/7195.John_Boyne,4.13,"
The Boy in the Striped Pajamas
",/book/show/39999.The_Boy_in_the_Striped_Pajamas,"433,921","56,413",698
Sue Monk Kidd,https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd,4.04,"
The Secret Life of Bees
",/book/show/37435.The_Secret_Life_of_Bees,"1,050,660","56,075",732
Anita Diamant,https://www.goodreads.com/author/show/626222.Anita_Diamant,4.17,"
The Red Tent
",/book/show/4989.The_Red_Tent,"488,910","54,930",660
Arthur Conan Doyle,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,4.51,"
The Complete Sherlock Holmes
",/book/show/188572.The_Complete_Sherlock_Holmes,"159,199","54,116",723
Suzanne Collins,https://www.goodreads.com/author/show/153394.Suzanne_Collins,4.03,"
Mockingjay (The Hunger Games, #3)
",/book/show/7260188-mockingjay,"2,106,377","54,113",701
Arthur  Miller,https://www.goodreads.com/author/show/8120.Arthur_Miller,3.57,"
The Crucible
",/book/show/17250.The_Crucible,"295,434","54,082",737
Mikhail Bulgakov,https://www.goodreads.com/author/show/3873.Mikhail_Bulgakov,4.30,"
The Master and Margarita
",/book/show/117833.The_Master_and_Margarita,"208,392","53,805",634
Joseph Conrad,https://www.goodreads.com/author/show/3345.Joseph_Conrad,3.42,"
Heart of Darkness
",/book/show/4900.Heart_of_Darkness,"374,134","53,131",708
Carlos Ruiz Zafón,https://www.goodreads.com/author/show/815.Carlos_Ruiz_Zaf_n,4.26,"
The Shadow of the Wind (The Cemetery of Forgotten Books, #1)
",/book/show/1232.The_Shadow_of_the_Wind,"401,877","52,923",622
Gabriel García Márquez,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,3.91,"
Love in the Time of Cholera
",/book/show/9712.Love_in_the_Time_of_Cholera,"370,610","52,808",681
Truman Capote,https://www.goodreads.com/author/show/431149.Truman_Capote,4.07,"
In Cold Blood
",/book/show/168642.In_Cold_Blood,"477,726","52,738",702
O. Henry,https://www.goodreads.com/author/show/8993.O_Henry,4.09,"
The Gift of the Magi
",/book/show/143534.The_Gift_of_the_Magi,"77,658","52,428",705
Anne Rice,https://www.goodreads.com/author/show/7577.Anne_Rice,3.99,"
Interview with the Vampire (The Vampire Chronicles, #1)
",/book/show/43763.Interview_with_the_Vampire,"448,583","51,538",686
Milan Kundera,https://www.goodreads.com/author/show/6343.Milan_Kundera,4.09,"
The Unbearable Lightness of Being
",/book/show/9717.The_Unbearable_Lightness_of_Being,"300,718","51,280",634
Jack Kerouac,https://www.goodreads.com/author/show/1742.Jack_Kerouac,3.63,"
On the Road
",/book/show/70401.On_the_Road,"317,872","50,859",645
Elizabeth Gilbert,https://www.goodreads.com/author/show/11679.Elizabeth_Gilbert,3.54,"
Eat, Pray, Love
",/book/show/19501.Eat_Pray_Love,"1,361,452","50,742",621
Geoffrey Chaucer,https://www.goodreads.com/author/show/1838.Geoffrey_Chaucer,3.49,"
The Canterbury Tales
",/book/show/2696.The_Canterbury_Tales,"175,603","50,367",708
Jeannette Walls,https://www.goodreads.com/author/show/3275.Jeannette_Walls,4.26,"
The Glass Castle
",/book/show/7445.The_Glass_Castle,"809,085","49,587",595
Aesop,https://www.goodreads.com/author/show/12452.Aesop,4.05,"
Aesop's Fables
",/book/show/21348.Aesop_s_Fables,"110,133","49,050",684
J.R.R. Tolkien,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,4.59,"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
",/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,"103,396","48,810",630
